code,ht
00,Lower than 30
01,30
02,60
03,90
04,120
05,150
06,180
07,210
08,240
09,270
10,300
11,330
12,360
13,390
14,420
15,450
16,480
17,510
18,540
19,570
20,600
21,630
22,660
23,690
24,720
25,750
26,780
27,810
28,840
29,870
30,900
31,930
32,960
33,990
34,1020
35,1050
36,1080
37,1110
38,1140
39,1170
40,1200
41,1230
42,1260
43,1290
44,1320
45,1350
46,1380
47,1410
48,1440
49,1470
50,1500
51,
52,
53,
54,
55,
56,1800
57,2100
58,2400
59,2700
60,3000
61,3300
62,3600
63,3900
64,4200
65,4500
66,4800
67,5100
68,5400
69,5700
70,6000
71,6300
72,6600
73,6900
74,7200
75,7500
76,7800
77,8100
78,8400
79,8700
80,9000
81,10500
82,12000
83,13500
84,15000
85,16500
86,18000
87,19500
88,21000
89,Greater than 21000
90,0-49
91,50-99
92,100-199
93,200-299
94,300-599
95,600-999
96,1000-1499
97,1500-1999
98,2000-2499
99,2500 or more or no clouds
100,
